Var2,CHEMICAL_NAME.x,SUPER_PATHWAY.x,Var1,CHEMICAL_NAME.y,SUPER_PATHWAY.y,corr,p
181,laurate (12:0),Lipid,100009020,1-palmityl-2-oleoyl-GPC (O-16:0/18:1)*,Lipid,0.078330963,9.55E-15
181,laurate (12:0),Lipid,100009038,myristoyl dihydrosphingomyelin (d18:0/14:0)*,Lipid,0.423489152,0
181,laurate (12:0),Lipid,100009051,1-stearoyl-2-dihomo-linolenoyl-GPC (18:0/20:3n3 or 6)*,Lipid,0.078537911,7.99E-15
181,laurate (12:0),Lipid,100009066,1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*,Lipid,0.137326899,0
181,laurate (12:0),Lipid,100009122,1-pentadecanoyl-2-arachidonoyl-GPC (15:0/20:4)*,Lipid,0.104161837,0
181,laurate (12:0),Lipid,100009126,1-arachidoyl-2-arachidonoyl-GPC (20:0/20:4)*,Lipid,0.071920302,1.16E-12
181,laurate (12:0),Lipid,100009130,1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*,Lipid,0.110502925,0
181,laurate (12:0),Lipid,100009134,1-palmityl-2-linoleoyl-GPC (O-16:0/18:2)*,Lipid,-0.054931917,5.71E-08
181,laurate (12:0),Lipid,100009135,1-(1-enyl-stearoyl)-2-linoleoyl-GPC (P-18:0/18:2)*,Lipid,0.095634662,0
181,laurate (12:0),Lipid,100009160,1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*,Lipid,0.138193205,0
181,laurate (12:0),Lipid,100009162,1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*,Lipid,0.067544131,2.45E-11
181,laurate (12:0),Lipid,100009166,"phosphatidylcholine (16:0/22:5n3, 18:1/20:4)*",Lipid,0.089682204,0
181,laurate (12:0),Lipid,100009376,1-(1-enyl-oleoyl)-2-docosahexaenoyl-GPE (P-18:1/22:6)*,Lipid,-0.140243769,0
181,laurate (12:0),Lipid,100010955,perfluorooctanesulfonate (PFOS),Xenobiotics,-0.074958987,1.25E-13
181,laurate (12:0),Lipid,100015596,1-(1-enyl-stearoyl)-2-docosapentaenoyl-GPE (P-18:0/22:5n3)*,Lipid,-0.057850325,1.09E-08
181,laurate (12:0),Lipid,100015625,glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)*,Lipid,0.109223728,0
181,laurate (12:0),Lipid,100015687,"phosphatidylethanolamine (P-18:1/20:4, P-16:0/22:5n3)*",Lipid,-0.171722763,0
181,laurate (12:0),Lipid,100015745,"glycosyl ceramide (d18:2/24:1, d18:1/24:2)*",Lipid,0.11697659,0
181,laurate (12:0),Lipid,100015786,"sphingomyelin (d18:0/20:0, d16:0/22:0)*",Lipid,0.113303848,0
181,laurate (12:0),Lipid,100015797,heneicosapentaenoate (21:5n3),Lipid,0.191389087,0
181,laurate (12:0),Lipid,100015838,eicosenoylcarnitine (C20:1)*,Lipid,0.102833877,0
181,laurate (12:0),Lipid,100015962,"N,N,N-trimethyl-5-aminovalerate",Amino Acid,0.096608775,0
181,laurate (12:0),Lipid,100015968,carotene diol (3),Cofactors and Vitamins,0.057132833,1.65E-08
181,laurate (12:0),Lipid,100016007,"phosphatidylcholine (O-18:1/20:4, O-16:0/22:5n3)*",Lipid,-0.15414896,0
181,laurate (12:0),Lipid,100019975,hexadecenedioate (C16:1-DC)*,Lipid,0.122918246,0
181,laurate (12:0),Lipid,100020259,glutamine conjugate of C7H12O2*,Partially Characterized Molecules,0.286933562,0
181,laurate (12:0),Lipid,100020261,glutamine conjugate of C6H10O2 (1)*,Partially Characterized Molecules,0.199503967,0
181,laurate (12:0),Lipid,100020837,"2,6-dihydroxybenzoic acid",Xenobiotics,0.054657935,6.64E-08
181,laurate (12:0),Lipid,100022120,oxindolylalanine,Amino Acid,-0.064808924,1.50E-10
181,laurate (12:0),Lipid,999911381,X-11381,,0.05993893,3.15E-09
181,laurate (12:0),Lipid,999911795,X-11795,,-0.091437746,0
181,laurate (12:0),Lipid,999911847,X-11847,,-0.062212709,7.82E-10
181,laurate (12:0),Lipid,999911880,X-11880,,0.075930383,6.02E-14
181,laurate (12:0),Lipid,999912822,X-12822,,-0.068466845,1.31E-11
181,laurate (12:0),Lipid,999913658,X-13658,,0.084560747,0
181,laurate (12:0),Lipid,999918901,X-18901,,0.118967981,0
181,laurate (12:0),Lipid,999919141,X-19141,,0.079571956,3.55E-15
181,laurate (12:0),Lipid,999921258,X-21258,,0.049789533,8.70E-07
181,laurate (12:0),Lipid,999921661,X-21661,,-0.068750609,1.07E-11
181,laurate (12:0),Lipid,999923782,X-23782,,0.327569532,0
181,laurate (12:0),Lipid,999924947,X-24947,,-0.128008361,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,181,laurate (12:0),Lipid,0.106417906,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,358,hypotaurine,Amino Acid,0.10055006,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,445,orotate,Nucleotide,0.080041231,2.44E-15
209,adenosine 5'-monophosphate (AMP),Nucleotide,452,palmitoleate (16:1n7),Lipid,0.08358529,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,561,glutamate,Amino Acid,0.242227184,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,803,mannose,Carbohydrate,0.087096259,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,1140,gamma-glutamylglutamine,Peptide,-0.276830293,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,1221,creatine,Amino Acid,0.060455386,2.31E-09
209,adenosine 5'-monophosphate (AMP),Nucleotide,1242,N1-methyladenosine,Nucleotide,0.08177644,4.44E-16
209,adenosine 5'-monophosphate (AMP),Nucleotide,1539,1-palmitoyl-2-oleoyl-GPC (16:0/18:1),Lipid,0.156113494,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,1547,N-stearoyl-sphingosine (d18:1/18:0)*,Lipid,0.163949286,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,100000054,5-hydroxylysine,Amino Acid,0.120758163,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,100000672,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),Lipid,0.136321631,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,100001197,10-undecenoate (11:1n1),Lipid,-0.106765291,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,100001256,N-acetylphenylalanine,Amino Acid,0.078836947,6.44E-15
209,adenosine 5'-monophosphate (AMP),Nucleotide,100001383,1-myristoyl-GPC (14:0),Lipid,0.14481102,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,100001550,homostachydrine*,Xenobiotics,0.059809735,3.41E-09
209,adenosine 5'-monophosphate (AMP),Nucleotide,100001552,1-dihomo-linolenoyl-GPC (20:3n3 or 6)*,Lipid,0.150183293,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,100001571,1-arachidonoyl-GPE (20:4n6)*,Lipid,0.083021619,2.22E-16
209,adenosine 5'-monophosphate (AMP),Nucleotide,100001710,leucylleucine,Peptide,0.459046759,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,100001869,1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),Lipid,0.064036154,2.47E-10
209,adenosine 5'-monophosphate (AMP),Nucleotide,100002126,16alpha-hydroxy DHEA 3-sulfate,Lipid,0.067534712,2.46E-11
209,adenosine 5'-monophosphate (AMP),Nucleotide,100002152,andro steroid monosulfate C19H28O6S (1)*,Lipid,0.058128085,9.24E-09
209,adenosine 5'-monophosphate (AMP),Nucleotide,100002466,cysteinylglycine disulfide*,Amino Acid,0.076654664,3.46E-14
209,adenosine 5'-monophosphate (AMP),Nucleotide,100003001,1-(1-enyl-stearoyl)-GPE (P-18:0)*,Lipid,0.174373816,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,100003695,mannonate*,Xenobiotics,0.100886204,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,100004542,2-aminoheptanoate,Lipid,0.071077635,2.11E-12
209,adenosine 5'-monophosphate (AMP),Nucleotide,100005372,1-(1-enyl-oleoyl)-GPE (P-18:1)*,Lipid,0.216018492,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,100005384,O-sulfo-tyrosine,Xenobiotics,0.078676419,7.11E-15
209,adenosine 5'-monophosphate (AMP),Nucleotide,100006379,C-glycosyltryptophan,Amino Acid,0.110765478,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,100008914,1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),Lipid,0.082540761,4.44E-16
209,adenosine 5'-monophosphate (AMP),Nucleotide,100008917,1-(1-enyl-stearoyl)-2-oleoyl-GPC (P-18:0/18:1),Lipid,-0.064316934,2.06E-10
209,adenosine 5'-monophosphate (AMP),Nucleotide,100008918,1-(1-enyl-stearoyl)-2-arachidonoyl-GPC (P-18:0/20:4),Lipid,-0.073148094,4.76E-13
209,adenosine 5'-monophosphate (AMP),Nucleotide,100008976,1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*,Lipid,0.160628546,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,100008985,1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*,Lipid,0.175273947,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,100009002,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,Lipid,0.051503374,3.61E-07
209,adenosine 5'-monophosphate (AMP),Nucleotide,100009007,1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*,Lipid,-0.089409643,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,100009009,1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*,Lipid,-0.065089491,1.25E-10
209,adenosine 5'-monophosphate (AMP),Nucleotide,100009015,1-(1-enyl-stearoyl)-2-docosahexaenoyl-GPC (P-18:0/22:6)*,Lipid,-0.083659413,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,100009020,1-palmityl-2-oleoyl-GPC (O-16:0/18:1)*,Lipid,-0.085349142,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,100009038,myristoyl dihydrosphingomyelin (d18:0/14:0)*,Lipid,0.116958845,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,100009051,1-stearoyl-2-dihomo-linolenoyl-GPC (18:0/20:3n3 or 6)*,Lipid,0.193322887,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,100009066,1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*,Lipid,0.142361164,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,100009122,1-pentadecanoyl-2-arachidonoyl-GPC (15:0/20:4)*,Lipid,0.071656098,1.40E-12
209,adenosine 5'-monophosphate (AMP),Nucleotide,100009124,1-margaroyl-2-arachidonoyl-GPC (17:0/20:4)*,Lipid,-0.058118141,9.29E-09
209,adenosine 5'-monophosphate (AMP),Nucleotide,100009125,1-margaroyl-2-docosahexaenoyl-GPC (17:0/22:6)*,Lipid,-0.063715296,3.03E-10
209,adenosine 5'-monophosphate (AMP),Nucleotide,100009134,1-palmityl-2-linoleoyl-GPC (O-16:0/18:2)*,Lipid,-0.059688203,3.67E-09
209,adenosine 5'-monophosphate (AMP),Nucleotide,100009135,1-(1-enyl-stearoyl)-2-linoleoyl-GPC (P-18:0/18:2)*,Lipid,-0.075319262,9.55E-14
209,adenosine 5'-monophosphate (AMP),Nucleotide,100009160,1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*,Lipid,-0.075368614,9.19E-14
209,adenosine 5'-monophosphate (AMP),Nucleotide,100009215,1-stearoyl-2-dihomo-linolenoyl-GPE (18:0/20:3n3 or 6)*,Lipid,0.180073645,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,100009333,docosahexaenoylcholine,Lipid,-0.087717909,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,100009376,1-(1-enyl-oleoyl)-2-docosahexaenoyl-GPE (P-18:1/22:6)*,Lipid,-0.075721972,7.04E-14
209,adenosine 5'-monophosphate (AMP),Nucleotide,100015594,1-stearoyl-2-adrenoyl-GPE (18:0/22:4)*,Lipid,0.170994951,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,100015786,"sphingomyelin (d18:0/20:0, d16:0/22:0)*",Lipid,0.17523313,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,100015962,"N,N,N-trimethyl-5-aminovalerate",Amino Acid,0.079274016,4.44E-15
209,adenosine 5'-monophosphate (AMP),Nucleotide,100016007,"phosphatidylcholine (O-18:1/20:4, O-16:0/22:5n3)*",Lipid,-0.093557518,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,100020225,1-(1-enyl-oleoyl)-2-docosahexaenoyl-GPC (P-18:1/22:6)*,Lipid,-0.074090326,2.38E-13
209,adenosine 5'-monophosphate (AMP),Nucleotide,100022120,oxindolylalanine,Amino Acid,-0.069847779,5.03E-12
209,adenosine 5'-monophosphate (AMP),Nucleotide,999911315,X-11315,,-0.113821721,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,999911847,X-11847,,-0.104406175,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,999911849,X-11849,,-0.051157347,4.32E-07
209,adenosine 5'-monophosphate (AMP),Nucleotide,999911858,X-11858,,-0.095152572,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,999911880,X-11880,,0.121248308,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,999913866,X-13866,,-0.063903419,2.69E-10
209,adenosine 5'-monophosphate (AMP),Nucleotide,999916935,X-16935,,0.067511392,2.50E-11
209,adenosine 5'-monophosphate (AMP),Nucleotide,999921661,X-21661,,-0.097519313,0
209,adenosine 5'-monophosphate (AMP),Nucleotide,999924475,X-24475,,-0.088620709,0
278,cysteinylglycine,Amino Acid,181,laurate (12:0),Lipid,-0.059573854,3.93E-09
278,cysteinylglycine,Amino Acid,358,hypotaurine,Amino Acid,0.051935536,2.88E-07
278,cysteinylglycine,Amino Acid,452,palmitoleate (16:1n7),Lipid,-0.14501437,0
278,cysteinylglycine,Amino Acid,561,glutamate,Amino Acid,0.105844135,0
278,cysteinylglycine,Amino Acid,821,pseudouridine,Nucleotide,0.101584232,0
278,cysteinylglycine,Amino Acid,1140,gamma-glutamylglutamine,Peptide,0.108632227,0
278,cysteinylglycine,Amino Acid,1221,creatine,Amino Acid,-0.17014755,0
278,cysteinylglycine,Amino Acid,1224,"cys-gly, oxidized",Amino Acid,0.507844349,0
278,cysteinylglycine,Amino Acid,1242,N1-methyladenosine,Nucleotide,0.256618584,0
278,cysteinylglycine,Amino Acid,1547,N-stearoyl-sphingosine (d18:1/18:0)*,Lipid,0.079278441,4.44E-15
278,cysteinylglycine,Amino Acid,100000054,5-hydroxylysine,Amino Acid,0.087708069,0
278,cysteinylglycine,Amino Acid,100000665,docosahexaenoate (DHA; 22:6n3),Lipid,-0.145810972,0
278,cysteinylglycine,Amino Acid,100000672,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),Lipid,0.075628983,7.55E-14
278,cysteinylglycine,Amino Acid,100000792,dehydroepiandrosterone sulfate (DHEA-S),Lipid,0.113257688,0
278,cysteinylglycine,Amino Acid,100001197,10-undecenoate (11:1n1),Lipid,-0.168284761,0
278,cysteinylglycine,Amino Acid,100001256,N-acetylphenylalanine,Amino Acid,0.183816621,0
278,cysteinylglycine,Amino Acid,100001383,1-myristoyl-GPC (14:0),Lipid,0.08857885,0
278,cysteinylglycine,Amino Acid,100001395,1-linoleoyl-GPC (18:2),Lipid,0.060092306,2.88E-09
278,cysteinylglycine,Amino Acid,100001425,"5,6-dihydrouridine",Nucleotide,0.064455996,1.88E-10
278,cysteinylglycine,Amino Acid,100001540,glutamine_degradant*,Partially Characterized Molecules,0.213672617,0
278,cysteinylglycine,Amino Acid,100001550,homostachydrine*,Xenobiotics,0.131396788,0
278,cysteinylglycine,Amino Acid,100001551,1-arachidonoyl-GPC (20:4n6)*,Lipid,0.062205761,7.86E-10
278,cysteinylglycine,Amino Acid,100001552,1-dihomo-linolenoyl-GPC (20:3n3 or 6)*,Lipid,0.116481019,0
278,cysteinylglycine,Amino Acid,100001566,1-docosahexaenoyl-GPC (22:6)*,Lipid,-0.118140958,0
278,cysteinylglycine,Amino Acid,100001571,1-arachidonoyl-GPE (20:4n6)*,Lipid,0.082514857,4.44E-16
278,cysteinylglycine,Amino Acid,100001668,1-ribosyl-imidazoleacetate*,Amino Acid,0.228103956,0
278,cysteinylglycine,Amino Acid,100001710,leucylleucine,Peptide,0.133239594,0
278,cysteinylglycine,Amino Acid,100001757,thymol sulfate,Xenobiotics,0.078711617,7.11E-15
278,cysteinylglycine,Amino Acid,100001956,N-methylproline,Amino Acid,-0.072658781,6.80E-13
278,cysteinylglycine,Amino Acid,100002060,1-docosahexaenoyl-GPE (22:6)*,Lipid,-0.119582215,0
278,cysteinylglycine,Amino Acid,100002094,gamma-CEHC,Cofactors and Vitamins,0.06120472,1.46E-09
278,cysteinylglycine,Amino Acid,100002126,16alpha-hydroxy DHEA 3-sulfate,Lipid,0.0920788,0
278,cysteinylglycine,Amino Acid,100002152,andro steroid monosulfate C19H28O6S (1)*,Lipid,0.090387819,0
278,cysteinylglycine,Amino Acid,100002466,cysteinylglycine disulfide*,Amino Acid,0.445264528,0
278,cysteinylglycine,Amino Acid,100002796,cis-4-decenoate (10:1n6)*,Lipid,-0.088716184,0
278,cysteinylglycine,Amino Acid,100004542,2-aminoheptanoate,Lipid,0.183412573,0
278,cysteinylglycine,Amino Acid,100005372,1-(1-enyl-oleoyl)-GPE (P-18:1)*,Lipid,-0.083545506,0
278,cysteinylglycine,Amino Acid,100005384,O-sulfo-tyrosine,Xenobiotics,0.107440608,0
278,cysteinylglycine,Amino Acid,100005986,"sphingomyelin (d18:1/24:1, d18:2/24:0)*",Lipid,-0.112653186,0
278,cysteinylglycine,Amino Acid,100006129,vanillactate,Amino Acid,0.078036134,1.20E-14
278,cysteinylglycine,Amino Acid,100006171,eugenol sulfate,Xenobiotics,0.122480386,0
278,cysteinylglycine,Amino Acid,100006361,dopamine 3-O-sulfate,Amino Acid,0.064790361,1.52E-10
278,cysteinylglycine,Amino Acid,100008914,1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),Lipid,0.051783141,3.12E-07
278,cysteinylglycine,Amino Acid,100008915,1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6),Lipid,-0.132687704,0
278,cysteinylglycine,Amino Acid,100008916,1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6),Lipid,-0.100380926,0
278,cysteinylglycine,Amino Acid,100008917,1-(1-enyl-stearoyl)-2-oleoyl-GPC (P-18:0/18:1),Lipid,-0.120106099,0
278,cysteinylglycine,Amino Acid,100008957,"sphingomyelin (d18:2/24:1, d18:1/24:2)*",Lipid,-0.163158869,0
278,cysteinylglycine,Amino Acid,100008976,1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*,Lipid,0.10081491,0
278,cysteinylglycine,Amino Acid,100008985,1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*,Lipid,0.091528381,2.22E-16
278,cysteinylglycine,Amino Acid,100009000,1-(1-enyl-palmitoyl)-2-docosahexaenoyl-GPE (P-16:0/22:6)*,Lipid,-0.112386513,0
278,cysteinylglycine,Amino Acid,100009004,1-(1-enyl-stearoyl)-2-docosahexaenoyl-GPE (P-18:0/22:6)*,Lipid,-0.130831078,0
278,cysteinylglycine,Amino Acid,100009007,1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*,Lipid,-0.145040218,0
278,cysteinylglycine,Amino Acid,100009008,1-(1-enyl-palmitoyl)-2-docosahexaenoyl-GPC (P-16:0/22:6)*,Lipid,-0.137063402,0
278,cysteinylglycine,Amino Acid,100009009,1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*,Lipid,-0.056892286,1.89E-08
278,cysteinylglycine,Amino Acid,100009015,1-(1-enyl-stearoyl)-2-docosahexaenoyl-GPC (P-18:0/22:6)*,Lipid,-0.182230949,0
278,cysteinylglycine,Amino Acid,100009020,1-palmityl-2-oleoyl-GPC (O-16:0/18:1)*,Lipid,-0.104076002,0
278,cysteinylglycine,Amino Acid,100009051,1-stearoyl-2-dihomo-linolenoyl-GPC (18:0/20:3n3 or 6)*,Lipid,0.119019147,0
278,cysteinylglycine,Amino Acid,100009066,1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*,Lipid,0.066085755,6.49E-11
278,cysteinylglycine,Amino Acid,100009124,1-margaroyl-2-arachidonoyl-GPC (17:0/20:4)*,Lipid,-0.07295677,5.48E-13
278,cysteinylglycine,Amino Acid,100009125,1-margaroyl-2-docosahexaenoyl-GPC (17:0/22:6)*,Lipid,-0.184808128,0
278,cysteinylglycine,Amino Acid,100009130,1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*,Lipid,-0.177421394,0
278,cysteinylglycine,Amino Acid,100009134,1-palmityl-2-linoleoyl-GPC (O-16:0/18:2)*,Lipid,-0.056541264,2.31E-08
278,cysteinylglycine,Amino Acid,100009135,1-(1-enyl-stearoyl)-2-linoleoyl-GPC (P-18:0/18:2)*,Lipid,-0.105552383,0
278,cysteinylglycine,Amino Acid,100009160,1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*,Lipid,-0.125851348,0
278,cysteinylglycine,Amino Acid,100009162,1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*,Lipid,-0.04973524,8.94E-07
278,cysteinylglycine,Amino Acid,100009166,"phosphatidylcholine (16:0/22:5n3, 18:1/20:4)*",Lipid,-0.086216049,0
278,cysteinylglycine,Amino Acid,100009215,1-stearoyl-2-dihomo-linolenoyl-GPE (18:0/20:3n3 or 6)*,Lipid,0.102361915,0
